instance,n,cpu_time (s),duplicates time (s),graph time (s),time spent on optimisations (s),number_of_cycles,number_of_duplicates,number_of_covered_tiles,corner_check_hits,edge_pairs_hits,pairs_isolation_hits,sandwich_pairs_hits,sandwich_triple_hits
23368336-3b17-4543-b254-14aec38aabca.singles,10,0.006199476,0.000539416,0.007096355,1.843e-06,420,59,27,0,0,2,2,0
23544715-b88d-4707-87b1-bf2cc768db47.singles,10,0.012047722,0.00053601,0.018873444,1.463e-06,1341,64,30,0,0,2,2,0
2368415a-8e72-413b-96bb-d981527fbc92.singles,10,0.00510226,0.000566188,0.100301417,1.533e-06,7693,66,28,0,0,2,4,0
23d6f19d-95fd-489b-a3bf-d8ea0099de0a.singles,10,0.006226014,0.000581536,0.015413201,1.443e-06,1054,56,26,0,0,1,4,0
240ee04b-489c-48c4-83e8-119074204ec2.singles,10,0.003311669,0.000584303,0.005260608,1.503e-06,230,65,28,0,0,0,3,0
2499ebd0-d2b8-438d-bd04-1f271cc36515.singles,10,0.009205943,0.000553213,0.015791866,2.915e-06,986,62,28,0,0,2,2,0
24a5bc80-3116-4755-b3fc-8c730863f6bb.singles,10,0.003268516,0.000560276,0.004995736,1.332e-06,229,61,31,0,0,2,3,1
25a92ed0-7337-4f29-9b71-0296506cc681.singles,10,0.00343567,0.000803144,0.00609732,1.312e-06,262,64,28,0,0,1,2,0
25b1957e-f799-4124-8eb7-e3ead0c0847a.singles,10,0.004977146,0.000572309,0.004403261,1.422e-06,158,64,28,0,0,3,4,0
266739ff-0016-4c5e-be84-8c6c951d6c2c.singles,10,0.020197876,0.000561589,0.018237297,0.0,1107,65,28,0,0,1,2,0
266f21ef-18eb-47f1-a22f-6455df72e76c.singles,10,0.009613842,0.000532913,0.025181854,2.023e-06,1580,64,30,0,0,0,3,0
2672d4be-130b-436c-a1ab-5c5512d35a51.singles,10,0.005250425,0.000639205,0.010027883,1.353e-06,565,64,31,0,0,2,1,0
270749e1-dba1-4d75-848e-8e0bbd09da4c.singles,10,0.008523602,0.000563111,0.017154943,1.593e-06,902,69,29,0,0,0,7,0
27098171-0253-464a-8b53-93ef24c3cb72.singles,10,0.006905561,0.000546511,0.128611371,1.373e-06,8795,69,29,0,0,2,4,0
27adb1aa-9dce-4d7a-81f1-6d8199ceb0e2.singles,10,0.015865676,0.000573561,0.006427256,1.773e-06,393,59,28,0,0,0,4,0
280a9c43-5b06-4efd-9b36-766091dc101a.singles,10,0.068469846,0.000563963,0.0063502,6.081e-06,208,62,29,0,0,4,1,0
28436bdf-2b7c-416c-ad86-2f0321a2ce4b.singles,10,0.003278478,0.000507476,0.3134276,1.703e-06,15467,66,29,0,0,2,2,0
286a7c05-41d5-445b-8b35-191c0df92731.singles,10,0.004092782,0.00060481,0.017769704,1.613e-06,754,61,30,0,0,2,2,0
28a930df-a68a-4e8c-be73-6e4bcb854a80.singles,10,0.00324332,0.000638724,0.029080039,1.392e-06,1654,64,28,0,0,2,5,0
28c1a99a-ccec-4c69-9911-a4ca70317812.singles,10,0.007450337,0.000542563,0.013291212,1.543e-06,614,64,29,0,0,1,7,0
28e2ecd9-f765-47c5-88b4-1bb31454d814.singles,10,0.004008739,0.000544245,0.005633718,1.313e-06,313,61,27,0,0,2,2,0
296cd8e9-13e4-49f5-b490-0cb9c2c9b0e9.singles,10,0.011441663,0.000523237,0.001827936,1.633e-06,31,60,27,0,0,2,2,0
2990198e-87c4-40b8-b3c9-f6054124cf5f.singles,10,0.005715109,0.00053552,0.886801444,1.412e-06,59892,64,29,0,0,2,2,0
29c402ef-cb9e-4058-aff6-abbbd2885a6e.singles,10,0.005203526,0.00061578,0.014805206,1.533e-06,609,62,28,0,0,1,3,0
29ccc30c-8259-453d-bddb-0dc193c97707.singles,10,0.006793771,0.00072684,0.020913937,1.854e-06,1101,62,30,0,0,5,1,0
29eebf6d-d991-451d-8456-f23d17924f7b.singles,10,0.003255834,0.000717652,0.005445235,1.252e-06,252,61,28,0,0,2,2,0
2a7c6e45-12f6-4d3c-8122-b7be68fa3664.singles,10,0.004981563,0.000583821,0.337303122,1.303e-06,19033,66,30,0,0,2,2,0
2b628b63-322b-4163-a836-f39191c84d2c.singles,10,0.021064423,0.000590935,0.009078631,1.753e-06,587,61,29,0,0,1,4,0
2b6e64b2-a132-4523-b6c5-860b557a7031.singles,10,0.005201182,0.000644314,0.115900831,1.873e-06,7157,66,29,0,0,1,3,0
2ba1f485-3b79-463b-8fa4-a7fa4184320a.singles,10,0.003233673,0.000645277,0.080551264,1.443e-06,3926,70,30,0,0,4,2,0
